"행정구역별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"울산광역시","50대","귀농인수[명]","명","33","40","39","33","41","37","22","29","40","28",
"울산광역시","50대","동반가구원수[명]","명","6","17","11","9","13","7","4","11","14","7",
"울산광역시","60대","귀농가구원수[명]","명","14","15","26","31","26","28","30","26","48","34",
"울산광역시","60대","귀농인수[명]","명","12","14","21","24","22","22","28","23","40","24",
"울산광역시","60대","동반가구원수[명]","명","X","X","5","7","4","6","X","X","8","10",
"울산광역시","70대이상","귀농가구원수[명]","명","5","7","X","11","9","7","8","8","6","9",
"울산광역시","70대이상","귀농인수[명]","명","X","X","X","6","5","6","7","5","6","5",
"울산광역시","70대이상","동반가구원수[명]","명","X","5","0","5","4","X","X","X","0","4",
"울주군","계","귀농가구원수[명]","명","113","155","132","145","140","127","80","109","157","104",
"울주군","계","귀농인수[명]","명","69","82","84","88","90","85","67","78","108","75",
"울주군","계","동반가구원수[명]","명","44","73","48","57","50","42","13","31","49","29",
"울주군","30대이하","귀농가구원수[명]","명","33","44","36","38","36","35","11","20","32","13",
"울주군","30대이하","귀농인수[명]","명","6","5","8","12","13","12","6","6","8","5",
"울주군","30대이하","동반가구원수[명]","명","27","39","28","26","23","23","5","14","24","8",
"울주군","40대","귀농가구원수[명]","명","22","32","18","23","15","13","5","15","17","13",
"울주군","40대","귀농인수[명]","명","16","21","14","13","9","8","4","15","14","13",
"울주군","40대","동반가구원수[명]","명","6","11","4","10","6","5","X","0","X","0",
"울주군","50대","귀농가구원수[명]","명","39","57","50","42","54","44","26","40","54","35",
"울주군","50대","귀농인수[명]","명","33","40","39","33","41","37","22","29","40","28",
"울주군","50대","동반가구원수[명]","명","6","17","11","9","13","7","4","11","14","7",
"울주군","60대","귀농가구원수[명]","명","14","15","26","31","26","28","30","26","48","34",
"울주군","60대","귀농인수[명]","명","12","14","21","24","22","22","28","23","40","24",
"울주군","60대","동반가구원수[명]","명","X","X","5","7","4","6","X","X","8","10",
"울주군","70대이상","귀농가구원수[명]","명","5","7","X","11","9","7","8","8","6","9",
"울주군","70대이상","귀농인수[명]","명","X","X","X","6","5","6","7","5","6","5",
"울주군","70대이상","동반가구원수[명]","명","X","5","0","5","4","X","X","X","0","4",
"세종특별자치시","계","귀농가구원수[명]","명","122","103","101","124","101","120","103","99","134","103",
"세종특별자치시","계","귀농인수[명]","명","73","69","64","84","72","88","71","71","90","81",
"세종특별자치시","계","동반가구원수[명]","명","49","34","37","40","29","32","32","28","44","22",
"세종특별자치시","30대이하","귀농가구원수[명]","명","25","33","28","39","27","27","18","28","33","16",
"세종특별자치시","30대이하","귀농인수[명]","명","4","9","9","16","8","10","7","12","14","10",
"세종특별자치시","30대이하","동반가구원수[명]","명","21","24","19","23","19","17","11","16","19","6",
"세종특별자치시","40대","귀농가구원수[명]","명","22","26","8","14","18","17","17","18","18","7",
"세종특별자치시","40대","귀농인수[명]","명","16","20","6","11","16","14","14","14","12","7",
"세종특별자치시","40대","동반가구원수[명]","명","6","6","X","X","X","X","X","4","6","0",
"세종특별자치시","50대","귀농가구원수[명]","명","50","30","30","34","25","39","36","29","44","35",
"세종특별자치시","50대","귀농인수[명]","명","35","28","22","25","22","31","26","24","33","30",
"세종특별자치시","50대","동반가구원수[명]","명","15","X","8","9","X","8","10","5","11","5",
"세종특별자치시","60대","귀농가구원수[명]","명","20","10","28","22","26","30","28","20","32","34",
"세종특별자치시","60대","귀농인수[명]","명","14","9","22","18","21","27","22","17","27","26",
"세종특별자치시","60대","동반가구원수[명]","명","6","X","6","4","5","X","6","X","5","8",
"세종특별자치시","70대이상","귀농가구원수[명]","명","5","4","7","15","5","7","4","4","7","11",
"세종특별자치시","70대이상","귀농인수[명]","명","4","X","5","14","5","6","X","4","4","8",
"세종특별자치시","70대이상","동반가구원수[명]","명","X","X","X","X","0","X","X","0","X","X",
