"품목군별(1)",품목군별(2),2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"품목군별(1)",품목군별(2),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%)
"노지과수 (kg)",노지포도,1657,6156079,1886363,4269716,69.4,1706,5490930,1831779,3659151,66.6,1776,5521229,1931507,3589722,65.0,1768,5378269,2070723,3307546,61.5,1623,5414184,2171190,3242994,59.9,1629,7109419,2188218,4921201,69.2,1545,7171229,2525492,4645737,64.8,1407,8917039,2933836,5983202,67.1,1415,10472660,3147760,7324899,69.9,1531,11088764,4187156,6901607,62.2
"노지과수 (kg)",노지감귤,3205,3464605,1152471,2312134,66.7,3334,2657198,1070998,1586200,59.7,3355,2667225,1046278,1620947,60.8,3233,3851511,1046346,2805165,72.8,3040,4222438,1188117,3034321,71.9,2807,3622611,1210561,2412050,66.6,3424,3171456,1501526,1669931,52.7,2939,3604819,1449542,2155277,59.8,3100,4069003,1518196,2550807,62.7,2485,3390782,1533551,1857231,54.8
"노지과수 (kg)",단감,1640,3390240,1331284,2058956,60.7,1864,3024652,1293189,1731463,57.2,1856,2743590,1282807,1460783,53.2,1825,2825350,1290970,1534381,54.3,1805,3010382,1503135,1507247,50.1,1786,3439562,1575603,1863959,54.2,1624,2978802,1499211,1479590,49.7,1419,3170487,1538033,1632455,51.5,1331,3333567,1470540,1863027,55.9,1628,3759122,1794836,1964286,52.3
"노지과수 (kg)",유자,1462,3725687,1507716,2217971,59.5,1554,4032860,1381413,2651447,65.7,1590,3690226,1422823,2267404,61.4,1765,2880422,1542030,1338391,46.5,1668,3155248,1654123,1501125,47.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"노지과수 (kg)",참다래(키위),1543,4738553,2175747,2562806,54.1,1864,5142776,2094967,3047809,59.3,1859,5240521,2133406,3107115,59.3,1924,5484192,1944316,3539876,64.5,1757,5043573,2141029,2902544,57.5,1438,5085741,2212370,2873371,56.5,1580,5334084,2192426,3141658,58.9,1320,5120834,2401260,2719573,53.1,1567,6096822,2762176,3334646,54.7,1582,6265119,2894707,3370412,53.8
"노지과수 (kg)",블루베리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,466,7430569,3409858,4020711,54.1,486,8239521,3268448,4971073,60.3,406,7589352,3333800,4255552,56.1,395,7881008,3694728,4186281,53.1,459,9963087,4771117,5191970,52.1
"노지과수 (kg)",매실,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,930,1726408,729423,996985,57.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"노지과수 (kg)",자두,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,851,3320939,1636708,1684231,50.7,902,3632895,1666196,1966699,54.1,1077,4628894,1921368,2707527,58.5
"시설과수 (kg)",소계,-,16784041,8691562,8092479,48.2,-,15465963,7779023,7686940,50.3,-,14247786,7124769,7123017,50.2,-,14205777,6155996,8049781,56.7,-,8699267,3970706,4728562,54.4,-,11042408,4151849,6890559,62.4,-,12654862,5045532,7609330,60.1,-,16560704,6201932,10358772,62.6,-,18263423,6742747,11520676,63.1,-,17944026,7153483,10790543,60.1
"시설과수 (kg)",시설포도,1790,10682720,5025443,5657277,53.0,1780,10004523,4704710,5299813,53.0,1822,9516338,4881248,4635090,48.7,1784,8825283,4138536,4686747,53.1,1705,8699267,3970706,4728562,54.4,1804,11042408,4151849,6890559,62.4,1516,12654862,5045532,7609330,60.1,1649,16560704,6201932,10358772,62.6,1563,18263423,6742747,11520676,63.1,1560,17944026,7153483,10790543,60.1
"시설과수 (kg)",시설감귤,5922,29746206,16459721,13286485,44.7,6427,27064097,14275681,12788416,47.3,5878,24899208,12126117,12773091,51.3,5952,25639326,10443098,15196228,59.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"화훼 (본)",소계,-,23186855,15465279,7721575,33.3,-,25706179,15753155,9953024,36.6,-,25559759,16493694,9066065,36.3,-,25191210,16667152,8524058,33.8,-,24507049,16950067,7556982,30.8,-,25039775,15918718,9121058,36.4,-,33244986,22883441,10361545,31.2,-,27074175,20840019,6234157,23.0,-,28223013,21457533,6765479,24.0,-,36338509,24732076,11606433,31.9
"화훼 (본)",시설국화,50640,16104843,10017372,6087471,37.8,47501,16435346,9569217,6866129,41.8,49307,14742793,9310486,5432307,36.8,44466,16335650,9096284,7239366,44.3,60019,16818831,10181482,6637349,39.5,60251,17673669,10040923,7632747,43.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"화훼 (본)",시설장미,99560,29898983,20970891,8928092,29.9,112936,34671352,21809644,12861708,37.1,109555,35057600,22863801,12193799,34.8,98289,32846017,23211462,9634555,29.3,91060,30172052,21937445,8234607,27.3,80991,31849948,21352905,10497043,33.0,79469,33244986,22883441,10361545,31.2,74783,27074175,20840019,6234157,23.0,67823,28223013,21457533,6765479,24.0,68992,36338509,24732076,11606433,31.9
"특용약용 (kg)",소계,-,6667842,2598228,4069613,61.0,-,7644705,2982697,4662008,60.4,-,3546982,1346111,2200870,62.0,-,6653278,2724496,3669374,55.2,-,6208725,2648925,3559801,57.3,-,5672660,2240371,3432289,60.5,-,6348558,2962369,3386189,53.3,-,5574482,2385836,3188646,57.2,-,5450664,2388888,3061776,56.2,-,6225741,2820957,3404785,54.7
